cluster,densidad,GRAVEDAD,latitud,longitud,CODIGO_LOCALIDAD,localidad_nombre,riesgo_score,riesgo_norm,nivel_riesgo,ranking
0,19676,2.954767229111608,4.657059870817239,-74.09873111434742,1,USAQUEN,58137.99999999999,100.0,CRITICO,1
2,234,2.923076923076923,4.504261788888888,-74.11047806538461,5,USME,684.0,1.1101740133220883,BAJO,2
-1,44,2.8636363636363638,4.737238161363636,-74.09909044318182,1,USAQUEN,126.0,0.14974440179693285,BAJO,3
3,38,3.0,4.500798460526315,-74.08742876842105,2,CHAPINERO,114.0,0.12909000154908,BAJO,4
1,23,2.9130434782608696,4.66892052173913,-74.02259060434781,2,CHAPINERO,67.0,0.04819360057832321,BAJO,5
4,13,3.0,4.603026561538462,-74.22276409999999,9,FONTIBON,39.0,0.0,BAJO,6
